X	mb231e210g_0	mb231e264g_0	mb231e279g_0	mb231p2207g_1	mb231p2237Ag_1
CRBN	6	3	2	5	8
CRCP	0	0	0	0	0
CRCT1	0	0	0	0	0
CREB1	25	25	47	28	47
CREB3	0	0	0	0	0
CREB3L1	0	0	0	0	0
CREB3L2	2	2	4	3	9
CREB3L3	0	0	0	0	0
CREB3L4	0	0	0	0	0
CREBBP	10	11	9	8	19
CREBL2	1	2	0	0	2
CREBRF	5	4	1	1	10
CREBZF	19	25	30	20	63
CREG1	0	0	0	0	0
CREG2	0	0	0	0	0
CRELD1	0	0	0	0	2
CRELD2	0	0	0	0	0
CREM	2	6	4	2	10
CRH	0	0	0	0	0
CRHBP	0	0	0	0	0
CRHR1	0	0	0	0	0
CRHR2	0	0	0	0	0
CRIM1	14	8	13	8	5
CRIP1	0	0	0	0	0
CRIP2	0	0	0	0	0
CRIP3	0	0	0	0	0
CRIPT	0	2	0	2	5
CRISP1	0	0	0	0	0
CRISP2	0	0	0	0	0
CRISP3	0	0	0	0	0
CRISPLD1	0	0	0	0	0
CRISPLD2	0	0	0	0	0
CRK	56	74	79	34	146
CRKL	5	2	3	1	3
CRLF1	0	1	0	0	0
CRLF2	0	0	0	0	0
CRLF3	0	0	0	0	0
CRLS1	0	2	2	1	2
CRMP1	0	0	0	0	0
CRNKL1	0	1	1	0	3
CRNN	0	0	0	0	0
CROCC	2	0	1	1	5
CROCC2	0	0	0	0	0
CROT	0	0	2	0	2
CRP	0	0	0	0	0
CRTAC1	0	0	0	0	0
CRTAM	0	0	0	0	0
CRTAP	17	3	14	5	25
CRTC1	3	0	5	0	5
CRTC2	21	29	31	15	43
CRTC3	0	1	1	0	3
CRX	0	0	0	0	0
CRY1	0	1	1	1	2
CRY2	3	2	3	1	6
CRYAA	0	0	0	0	0
CRYAB	13	7	3	3	14
CRYBA1	0	0	0	0	0
CRYBA2	0	0	0	0	0
CRYBA4	0	0	0	0	0
CRYBB1	0	0	0	0	0
CRYBB2	0	0	0	0	0
CRYBB3	0	0	0	0	0
CRYBG3	0	0	0	0	1
CRYGA	0	0	0	0	0
CRYGB	0	0	0	0	0
CRYGC	0	0	0	0	0
CRYGD	0	0	0	0	0
CRYGN	0	0	0	0	0
CRYGS	0	0	0	0	0
CRYL1	0	0	1	0	0
CRYM	0	0	0	0	0
CRYZ	0	0	0	0	0
CRYZL1	7	0	0	5	5
CS	14	9	17	11	46
CSAD	6	2	0	0	6
CSDC2	0	0	0	0	0
CSDE1	260	278	293	127	486
CSE1L	7	17	19	11	31
CSF1	1	2	2	0	2
CSF1R	0	0	0	0	0
CSF2	0	0	0	0	0
CSF2RA	0	0	0	0	0
CSF2RB	0	0	0	0	0
CSF3	0	0	0	0	0
CSF3R	0	0	0	0	0
CSGALNACT1	0	0	0	0	0
CSGALNACT2	4	3	13	6	19
CSK	19	19	27	16	50
CSMD1	0	0	0	0	0
CSMD2	0	0	0	0	0
CSMD3	0	0	0	0	0
CSN1S1	0	0	0	0	0
CSN2	0	0	0	0	0
CSN3	0	0	0	0	0
CSNK1A1	108	121	108	103	230
CSNK1D	52	57	58	42	104
CSNK1E	1	4	6	5	7
CSNK1G1	2	5	4	4	15
CSNK1G2	29	12	32	27	65
CSNK1G3	11	13	8	9	29
CSNK2A1	53	51	55	44	116
CSNK2A2	61	58	81	64	195
CSNK2B	41	30	72	53	118
CSPG4	8	4	5	2	10
CSPG5	0	0	0	0	0
CSPP1	2	4	3	4	3
CSRNP1	0	0	0	0	0
CSRNP2	0	0	0	0	0
CSRNP3	0	0	0	0	0
CSRP1	19	8	19	5	15
CSRP2	0	0	0	0	0
CSRP3	0	0	0	0	0
CST11	0	0	0	0	0
CST3	0	0	0	0	0
CST6	0	0	0	0	0
CST7	0	0	0	0	0
CST8	0	0	0	0	0
CST9	0	0	0	0	0
CSTB	0	0	0	0	0
CSTF1	0	0	0	0	0
CSTF2	2	6	11	8	7
CSTF2T	0	0	0	0	0
CSTF3	15	11	22	13	30
CSTL1	0	0	0	0	0
CTAG2	0	0	0	0	0
CTBP1	5	2	9	7	11
CTBP2	14	19	20	14	36
CTBS	0	0	0	0	0
CTC1	0	0	0	0	0
CTCF	17	28	39	28	85
CTCFL	0	0	0	0	0
CTDNEP1	47	27	44	31	74
CTDP1	0	2	0	0	2
CTDSP1	20	9	12	17	43
CTDSP2	4	6	6	2	11
CTDSPL	1	0	0	0	1
CTDSPL2	17	29	30	32	71
CTF1	0	0	0	0	0
CTGF	0	0	0	0	0
CTH	0	0	0	0	0
CTHRC1	0	0	0	0	0
CTIF	0	3	3	1	6
CTLA4	0	0	0	0	0
CTNNA1	81	73	62	41	119
CTNNA2	0	0	0	0	0
CTNNA3	0	0	0	0	0
CTNNAL1	4	1	1	1	4
CTNNB1	167	153	212	85	305
CTNNBIP1	4	1	6	0	13
CTNNBL1	5	2	4	3	8
CTNND1	26	32	32	20	61
CTNND2	0	0	0	0	0
CTNS	0	0	0	0	0
CTPS2	5	7	6	3	11
CTR9	2	9	3	1	11
CTRB1	0	0	0	0	0
CTRC	0	0	0	0	0
CTRL	0	0	0	0	0
CTSA	9	9	8	1	12
CTSB	0	0	0	0	0
CTSC	0	0	0	0	0
CTSD	0	0	0	0	0
CTSE	0	0	0	0	0
CTSF	0	0	0	0	0
CTSG	0	0	0	0	0
CTSH	0	0	0	0	0
CTSK	0	0	0	0	0
CTSL	0	0	0	0	0
CTSO	0	0	0	0	0
CTSS	0	0	0	0	0
CTSW	0	0	0	0	0
CTSZ	0	0	0	0	0
CTTN	10	11	6	10	16
CTTNBP2	0	0	0	0	0
CTTNBP2NL	3	8	6	4	8
CTU1	0	0	0	0	0
CTU2	0	0	0	0	0
CTXN1	0	1	2	2	3
CTXN2	0	0	0	0	0
CTXN3	0	0	0	0	0
CUBN	0	0	0	0	0
CUEDC1	0	0	0	0	0
CUEDC2	41	11	23	18	50
CUL1	16	25	24	16	49
CUL2	17	10	11	9	21
CUL3	133	151	180	121	334
CUL4A	0	1	1	0	2
CUL4B	14	19	25	10	40
CUL5	7	1	4	1	12
CUL7	4	3	5	3	3
CUL9	0	0	0	0	0
CUTA	0	0	0	0	0
CUTC	0	0	0	0	0
CUX1	28	35	38	31	115
CUX2	0	0	0	0	0
CUZD1	0	0	0	0	0
CWC15	0	0	0	0	0
CWC22	2	1	2	4	9
CWC25	0	0	0	0	0
CWC27	1	0	0	1	0
CWF19L1	5	6	7	2	10
CWF19L2	1	0	2	1	1
CWH43	0	0	0	0	0
CX3CL1	0	0	0	0	0
CX3CR1	0	0	0	0	0
CXADR	0	0	0	0	0
CXCL1	0	0	0	0	0
CXCL10	0	0	0	0	0
CXCL12	1	0	0	0	0
CXCL13	0	0	0	0	0
CXCL14	0	0	0	0	0
CXCL16	0	0	0	0	0
CXCL17	0	0	0	0	0
CXCL2	0	0	0	0	0
CXCL3	0	0	0	0	0
CXCL5	0	0	0	0	0
CXCL9	0	0	0	0	0
CXCR1	0	0	0	0	0
CXCR2	0	0	0	0	0
CXCR3	0	0	0	0	0
CXCR4	0	0	0	0	0
CXCR5	0	0	0	0	0
CXCR6	0	0	0	0	0
CXXC1	5	2	2	5	8
CXXC4	0	0	0	0	0
CXXC5	25	19	23	10	32
CYB561	0	0	0	0	0
CYB561A3	1	0	0	0	0
CYB561D1	0	1	0	1	0
CYB561D2	0	1	1	1	4
CYB5A	0	0	0	0	0
CYB5B	0	0	0	0	0
CYB5D1	0	0	0	0	0
CYB5D2	0	0	0	0	0
CYB5R1	5	3	9	2	10
CYB5R2	0	0	0	0	0
CYB5R3	0	0	0	0	0
CYB5R4	0	1	1	4	1
CYB5RL	0	0	0	0	0
CYBA	6	3	2	1	1
CYBB	0	0	0	0	0
CYBRD1	0	0	0	0	0
CYC1	0	1	2	0	4
CYCS	0	0	0	0	0
CYFIP1	28	20	30	19	67
CYFIP2	0	0	0	0	0
CYGB	0	0	0	0	0
CYHR1	30	26	28	19	47
CYLC1	0	0	0	0	0
CYLC2	0	0	0	0	0
CYLD	8	11	11	3	21
CYP11A1	0	0	0	0	0
CYP11B1	0	0	0	0	0
CYP11B2	0	0	0	0	0
CYP17A1	0	0	0	0	0
CYP19A1	0	0	0	0	0
CYP1A1	0	0	0	0	0
CYP1A2	0	0	0	0	0
CYP1B1	1	0	0	0	0
CYP20A1	1	0	2	0	0
CYP24A1	0	0	0	0	0
CYP26A1	0	0	0	0	0
CYP26B1	0	0	0	0	0
CYP26C1	0	0	0	0	0
CYP27A1	0	0	0	0	0
CYP27B1	0	0	0	0	0
CYP2E1	0	0	0	0	0
CYP2R1	0	0	0	0	0
CYP2S1	0	0	0	0	0
CYP2U1	0	0	0	0	0
CYP2W1	0	0	0	0	0
CYP39A1	0	0	0	0	0
CYP46A1	0	0	0	0	0
CYP4B1	0	0	0	0	0
CYP4X1	0	0	0	0	0
CYP7A1	0	0	0	0	0
CYP7B1	0	0	0	0	0
CYP8B1	0	0	0	0	0
CYR61	21	18	19	2	8
CYS1	0	0	0	0	0
CYSLTR1	0	0	0	0	0
CYSLTR2	0	0	0	0	0
CYSRT1	0	0	0	0	0
CYSTM1	7	7	10	2	9
CYTH1	3	5	4	0	4
CYTH2	20	10	5	13	17
CYTH3	0	2	5	0	8
CYTH4	0	0	0	0	0
CYTIP	0	0	0	0	0
CYTL1	0	0	0	0	0
CYYR1	0	0	0	0	0
D2HGDH	0	0	0	0	0
DAAM1	4	5	6	5	10
DAAM2	0	0	0	0	0
DAB1	0	0	0	0	0
DAB2	29	19	15	17	34
DAB2IP	36	32	40	28	91
DACH1	0	1	0	1	0
DACH2	0	0	0	0	0
DACT1	0	0	0	0	0
DACT2	0	0	0	0	0
DACT3	2	0	1	3	2
DAD1	0	0	0	1	3
DAG1	40	18	39	18	64
DAGLA	1	6	3	5	10
DAGLB	0	0	0	0	0
DALRD3	0	0	0	0	0
DAND5	0	0	0	0	0
DAO	0	0	0	0	0
DAP	0	0	0	0	0
DAP3	3	3	4	3	7
DAPK1	0	0	0	0	0
DAPK2	0	0	0	0	0
DAPK3	0	0	0	0	0
DAPL1	0	0	0	0	0
DAPP1	1	2	3	0	1
DARS	44	42	51	54	138
DARS2	0	1	0	0	0
DAW1	0	0	0	0	0
DAXX	0	0	1	1	5
DAZAP1	11	11	23	6	34
DAZAP2	45	36	46	45	127
DAZL	0	0	0	0	0
DBF4	0	1	3	2	2
DBH	0	0	0	0	0
DBI	0	0	0	0	0
DBN1	1	1	3	0	1
DBNDD1	0	0	0	0	1
DBNDD2	0	0	0	0	0
DBNL	1	3	1	4	5
DBP	0	0	0	0	0
DBR1	0	0	0	0	1
DBT	1	0	3	2	1
DBX1	0	0	0	0	0
DBX2	0	0	0	0	0
DCAF10	8	11	10	5	15
DCAF11	2	6	9	5	14
DCAF12	13	8	6	9	16
DCAF12L1	0	0	0	0	0
DCAF12L2	0	0	0	0	0
DCAF13	0	0	0	0	0
DCAF15	2	1	8	2	5
DCAF17	2	2	1	1	6
DCAF4	0	0	0	0	0
DCAF5	11	6	19	10	41
DCAF6	12	16	17	15	37
DCAF7	7	11	24	10	36
DCAF8	62	20	18	31	54
DCAKD	0	0	0	1	0
DCBLD1	0	0	0	0	0
DCBLD2	0	1	3	0	6
DCC	0	0	0	0	0
DCDC2B	0	0	0	0	0
DCDC2C	0	0	0	0	0
DCHS1	0	0	0	0	0
DCHS2	0	0	0	0	0
DCK	0	1	0	0	1
DCLK1	0	2	2	0	0
DCLK2	0	0	0	0	0
DCLK3	0	0	0	0	0
DCLRE1A	2	0	1	1	1
DCLRE1B	0	0	0	0	0
DCLRE1C	0	0	0	0	0
DCN	0	0	0	0	0
DCP1A	2	2	3	2	3
DCP1B	0	0	0	0	0
DCP2	0	1	1	0	2
DCPS	0	0	0	0	0
DCST1	0	0	0	0	0
DCST2	0	0	0	0	0
DCSTAMP	0	0	0	0	0
DCT	0	0	0	0	0
DCTD	0	0	0	0	0
DCTN1	29	21	15	12	32
DCTN2	8	7	7	5	15
DCTN3	0	0	0	0	0
DCTN4	6	2	4	2	11
DCTN5	0	0	0	0	0
DCTN6	0	0	0	0	0
DCTPP1	0	0	0	0	0
DCUN1D1	22	35	31	15	54
DCUN1D2	0	0	0	0	0
DCUN1D3	3	9	8	1	8
DCUN1D4	2	3	2	4	7
DCUN1D5	37	36	42	31	102
DCX	0	0	0	0	0
DCXR	0	0	0	0	0
DDA1	0	0	0	0	0
DDAH1	5	3	4	0	2
DDAH2	0	0	0	0	1
DDB1	98	61	94	60	165
DDB2	0	0	0	0	0
DDC	0	0	0	0	0
DDHD1	0	1	2	3	3
DDHD2	4	7	6	1	4
DDI1	0	0	0	0	0
DDI2	1	0	6	4	6
DDIAS	0	0	0	0	0
DDIT3	0	0	0	0	0
DDIT4	8	0	11	6	10
DDIT4L	0	0	0	0	0
DDN	0	0	0	0	0
DDO	0	0	0	0	0
DDOST	50	35	34	18	65
DDR1	14	9	12	1	19
DDR2	17	38	41	23	69
DDRGK1	1	1	1	0	0
DDT	0	0	0	0	0
DDX1	16	8	18	14	34
DDX10	0	0	1	0	4
DDX11	0	1	0	0	0
DDX17	51	121	73	82	164
DDX18	0	0	0	0	0
DDX19A	1	2	4	3	10
DDX19B	0	0	1	0	0
DDX20	3	7	5	8	11
DDX21	2	2	5	3	5
DDX23	21	26	38	24	57
DDX24	1	2	4	0	3
DDX25	0	0	0	0	0
DDX27	14	16	17	12	17
DDX28	0	0	0	0	0
DDX31	1	2	3	2	2
DDX39B	95	51	65	48	106
DDX3X	173	195	274	151	574
DDX3Y	2	10	9	4	26
DDX4	0	0	0	0	0
DDX41	3	2	0	0	2
DDX42	5	13	8	6	25
DDX43	0	0	0	0	0
DDX46	10	27	27	25	54
DDX47	2	2	1	0	3
DDX49	0	0	0	0	0
DDX5	1022	1066	763	614	2069
DDX50	25	21	24	15	52
DDX51	0	0	0	0	0
DDX52	0	5	3	3	5
DDX54	0	0	1	3	2
DDX55	1	0	0	0	1
DDX56	1	0	0	0	1
DDX58	0	0	0	0	0
DDX59	0	0	0	0	0
DDX6	42	68	98	44	173
DDX60	0	0	0	0	0
DEAF1	0	0	0	0	0
DECR1	0	0	0	0	0
DECR2	0	0	0	0	0
DEDD	21	22	25	15	34
DEDD2	6	2	8	9	9
DEF6	1	1	0	0	3
DEF8	0	0	0	0	1
DEFA3	0	0	0	0	0
DEFA5	0	0	0	0	0
DEFB1	0	0	0	0	0
DEGS1	0	0	0	0	0
DEGS2	0	0	0	0	0
DEK	0	0	0	0	1
DENND1A	6	5	11	9	18
DENND1B	2	2	2	1	2
DENND1C	0	0	0	0	0
DENND2A	6	4	8	7	15
DENND2C	0	0	0	0	0
DENND2D	0	0	0	0	0
DENND3	0	0	0	0	0
DENND4A	5	1	6	3	6
DENND4B	1	1	5	1	3
DENND4C	1	1	0	0	4
DENND5A	37	29	45	33	122
DENND5B	4	4	4	6	5
DENND6A	1	0	0	1	0
DENND6B	2	2	0	0	1
DENR	16	12	17	8	37
DEPDC1B	0	0	0	0	0
DEPDC5	4	9	6	5	8
DEPDC7	0	0	0	0	0
DEPTOR	0	1	0	0	1
DERA	0	0	0	0	1
DERL1	30	29	38	19	56
DERL2	10	3	9	3	9
DERL3	0	0	0	0	0
DES	0	0	0	0	0
DESI1	6	4	3	1	14
DESI2	3	1	4	3	8
DET1	2	0	1	1	1
DEXI	0	0	0	0	0
DFFA	1	2	0	0	2
DFFB	0	0	0	0	0
DFNA5	0	0	0	0	0
DFNB59	0	0	0	0	0
DGAT1	0	0	0	0	0
DGAT2	4	1	6	0	4
DGAT2L6	0	0	0	0	0
DGCR14	0	0	0	1	0
DGCR2	6	10	6	7	24
DGCR6	0	0	0	0	0
DGCR8	6	10	18	5	41
DGKA	1	1	0	0	0
DGKB	0	0	0	0	0
DGKD	5	15	11	19	35
DGKE	1	1	1	0	2
DGKG	0	0	0	0	0
DGKH	0	0	0	0	0
DGKI	0	0	0	0	0
DGKK	0	0	0	0	0
DGKQ	0	0	0	0	0
DGKZ	7	2	5	6	8
DGUOK	1	1	0	0	0
DHCR24	3	6	15	5	24
DHCR7	0	0	0	0	0
DHDDS	0	1	0	0	1
DHDH	0	0	0	0	0
DHFR	0	0	1	1	0
DHH	0	0	0	0	0
DHODH	0	0	0	1	2
DHPS	1	0	1	0	1
DHRS1	0	2	2	1	2
DHRS11	1	4	1	1	7
DHRS13	0	1	1	1	5
DHRS2	0	0	0	0	0
DHRS3	2	0	0	0	0
DHRS4	0	0	0	0	0
DHRS7	0	0	0	0	0
DHRS7B	0	0	0	0	0
DHRS7C	0	0	0	0	0
DHRS9	0	0	0	0	0
DHTKD1	0	0	0	0	0
DHX15	142	177	222	182	433
DHX16	0	3	1	2	3
DHX29	0	1	0	1	1
DHX30	2	6	4	4	10
DHX32	0	0	0	0	0
DHX33	2	8	7	5	15
DHX34	0	0	0	0	4
DHX35	2	2	0	0	6
DHX36	8	11	9	6	17
DHX37	0	0	1	0	0
DHX38	18	24	20	9	35
DHX40	12	2	8	4	18
DHX57	4	1	2	0	2
DHX58	0	0	0	0	0
DHX8	6	14	8	6	26
DHX9	18	25	44	21	68
DIABLO	0	0	0	0	0
DIAPH1	9	9	20	11	31
DIAPH2	2	0	0	0	0
DIAPH3	5	16	13	5	27
DICER1	9	12	4	5	27
DIDO1	0	0	0	0	1
DIEXF	0	1	0	1	2
DIMT1	2	3	3	1	9
DIO1	0	0	0	0	0
DIO2	0	0	0	0	0
DIO3	0	0	0	0	0
DIP2A	6	8	9	1	20
DIP2B	1	5	3	1	6
DIP2C	6	6	5	9	11
DIRAS1	0	0	0	0	0
DIRAS2	0	0	0	0	0
DIRC2	0	0	0	2	5
DIS3	1	1	2	1	2
DIS3L	0	0	2	0	1
DIS3L2	0	3	4	0	7
DISC1	0	0	0	0	0
DISP1	0	0	0	0	0
DISP2	0	0	0	0	0
DIXDC1	2	0	0	0	3
DKC1	3	7	20	3	20
DKK1	0	0	0	0	0
DKK2	0	0	0	0	0
DKK3	0	0	0	0	0
DKK4	0	0	0	0	0
DKKL1	0	0	0	0	0
DLAT	3	2	5	4	7
DLC1	0	1	0	0	1
DLD	6	6	7	4	13
DLEC1	0	0	0	0	0
DLEU7	0	0	0	0	0
DLG1	20	23	18	8	34
DLG2	0	0	0	0	0
DLG3	36	20	22	15	47
DLG4	59	65	31	41	103
DLG5	3	1	5	1	8
DLGAP1	0	0	0	0	0
DLGAP2	0	0	0	0	0
DLGAP3	0	0	0	0	0
DLGAP4	59	25	28	31	69
DLGAP5	0	0	0	0	0
DLK1	0	0	0	0	0
DLK2	7	0	1	1	0
DLL1	0	1	0	0	1
DLL3	0	0	0	0	0
DLL4	0	0	0	0	0
DLST	7	1	15	2	28
DLX1	1	1	3	0	5
DLX2	0	0	0	0	4
DLX3	0	0	0	0	0
DLX4	0	0	0	0	0
DLX5	0	0	0	0	0
DLX6	0	0	0	0	0
DMAP1	0	0	0	0	0
DMBT1	0	0	0	0	0
DMBX1	0	0	0	0	0
DMC1	0	0	0	0	0
DMD	0	0	0	0	0
DMGDH	0	0	0	0	0
DMKN	0	0	0	0	0
DMP1	0	0	0	0	0
DMPK	36	0	1	4	4
DMRT1	0	0	0	0	0
DMRT2	0	0	0	0	0
DMRT3	0	0	0	0	0
DMRTA1	0	0	0	0	0
DMRTA2	2	1	1	2	3
DMRTB1	0	0	0	0	0
DMRTC1B	0	0	0	0	0
DMRTC2	0	0	0	0	0
DMTF1	9	23	15	16	28
DMTN	0	0	0	0	1
DMWD	3	1	5	2	6
DMXL1	3	9	13	12	31
DMXL2	0	0	2	0	1
DNA2	0	0	0	0	0
DNAAF1	0	0	0	0	0
DNAAF2	0	0	0	0	0
DNAAF3	0	0	0	0	0
DNAAF5	0	0	0	0	0
DNAH1	0	0	0	0	0
DNAH10	0	0	0	0	0
DNAH11	0	0	0	0	0
DNAH12	0	0	0	0	0
DNAH14	0	0	0	0	0
DNAH17	0	1	0	0	0
DNAH2	0	0	0	0	0
DNAH3	0	0	0	0	0
DNAH5	0	0	0	0	0
DNAH6	0	0	0	0	0
DNAH8	0	0	0	0	0
DNAH9	0	0	0	0	0
DNAJA1	24	47	65	33	88
DNAJA2	37	31	48	29	93
DNAJA3	1	0	2	0	4
DNAJA4	0	0	0	0	0
DNAJB1	12	15	28	15	27
DNAJB11	0	2	2	0	2
DNAJB12	3	2	7	4	13
DNAJB13	0	0	0	0	0
DNAJB14	0	0	0	0	0
DNAJB2	7	5	3	4	6
DNAJB4	9	6	5	2	6
DNAJB5	1	3	3	0	4
DNAJB6	5	0	2	3	13
DNAJB7	0	0	0	0	0
DNAJB8	0	0	0	0	0
DNAJB9	5	1	5	2	4
DNAJC1	11	6	22	6	24
DNAJC10	17	31	17	6	59
DNAJC11	3	3	4	3	7
DNAJC12	0	0	0	0	0
DNAJC13	6	10	29	10	32
DNAJC14	0	0	0	0	0
DNAJC15	0	0	0	0	0
DNAJC16	0	0	0	0	0
DNAJC17	0	0	0	0	1
DNAJC18	2	0	1	0	0
DNAJC19	0	0	0	0	0
DNAJC2	2	3	9	2	7
DNAJC21	3	2	0	2	3
DNAJC22	0	0	0	0	0
DNAJC24	0	0	0	0	0
DNAJC25	1	1	1	0	0
DNAJC27	0	0	0	0	0
DNAJC28	0	0	0	0	0
DNAJC3	1	4	4	0	9
DNAJC30	0	0	0	0	0
DNAJC4	0	0	0	0	0
DNAJC5	0	0	0	0	0
DNAJC5B	0	0	0	0	0
DNAJC5G	0	0	0	0	0
DNAJC6	0	0	0	0	0
DNAJC7	24	23	25	26	41
DNAJC8	26	10	16	8	43
DNAJC9	0	1	0	2	1
DNAL1	0	1	1	0	0
DNAL4	9	12	11	12	25
DNALI1	0	0	0	0	0
DNASE1	0	0	0	0	0
DNASE1L1	0	0	0	0	0
DNASE1L2	0	0	0	0	0
DNASE1L3	0	0	0	0	0
DNASE2B	0	0	0	0	0
DND1	0	0	0	0	0
DNER	0	0	0	0	0
DNHD1	0	0	0	0	0
DNLZ	0	0	0	0	0
DNM1	61	30	16	25	88
DNM1L	11	20	19	14	59
DNM2	18	17	10	9	43
DNM3	1	0	0	0	1
DNMBP	0	0	0	0	0
DNMT1	0	0	0	0	0
DNMT3A	5	4	7	5	16
DNMT3B	0	0	0	0	0
DNMT3L	0	0	0	0	0
DNPEP	0	4	1	4	7
DNPH1	0	0	0	0	0
DNTT	0	0	0	0	0
DNTTIP1	1	1	1	0	1
DNTTIP2	0	1	4	2	0
DOC2A	0	0	0	0	0
DOC2B	0	0	0	0	0
DOCK1	1	4	0	0	5
DOCK10	0	0	0	0	0
DOCK11	9	5	4	3	13
DOCK2	0	0	0	0	0
DOCK3	0	0	0	0	0
DOCK4	9	10	6	2	20
DOCK5	0	1	1	0	3
DOCK6	0	0	0	0	0
DOCK7	17	19	12	8	24
DOCK8	0	5	3	1	7
DOCK9	7	14	11	11	32
DOHH	0	0	0	0	0
DOK1	0	1	0	0	0
DOK2	0	0	0	0	0
DOK3	0	0	0	0	0
DOK4	1	1	1	1	3
DOK5	0	0	0	0	0
DOK6	0	0	0	0	1
DOK7	0	0	0	0	0
DOLK	0	0	0	0	1
DOLPP1	6	1	1	0	2
DONSON	0	2	0	0	4
DOPEY1	0	2	2	2	2
DOPEY2	0	0	0	0	1
DOT1L	1	4	3	3	6
DPAGT1	8	2	7	5	8
DPCR1	0	0	0	0	0
DPEP1	0	0	0	0	0
DPEP2	0	0	0	0	0
DPEP3	0	0	0	0	0
DPF1	1	2	3	0	3
DPF2	17	10	28	14	40
DPF3	0	0	0	0	0
DPH1	1	0	1	0	2
DPH2	0	0	0	0	0
DPH3	0	0	0	0	0
DPH5	0	2	2	2	3
DPH6	0	0	0	1	1
DPH7	0	0	0	0	0
DPM1	6	4	2	3	4
DPM2	0	0	0	0	0
DPM3	0	0	0	0	0
DPP10	0	0	0	0	0
DPP3	0	0	1	2	6
DPP4	0	0	0	0	0
DPP6	0	0	0	0	0
DPP7	0	0	0	0	0
DPP8	8	12	7	8	20
DPP9	0	0	0	0	2
DPPA2	0	0	0	0	0
DPPA3	0	0	0	0	0
DPPA4	0	0	0	0	0
DPT	0	0	0	0	0
DPY19L1	2	2	4	1	7
DPY19L2	0	0	0	0	0
DPY19L3	0	0	0	0	0
DPY19L4	2	2	3	1	1
DPY30	7	0	5	4	37
DPYD	0	0	0	0	0
DPYS	0	0	0	0	0
DPYSL2	3	3	2	3	2
DPYSL3	0	0	0	0	0
DPYSL4	0	0	0	0	0
DPYSL5	0	0	0	0	0
DQX1	0	1	0	0	0
DR1	6	14	10	6	27
DRAM1	0	0	0	0	0
DRAM2	4	0	0	0	5
DRAP1	6	3	6	2	8
DRAXIN	0	0	0	0	0
DRC1	0	0	0	0	0
DRC7	0	0	0	0	0
DRD1	0	0	0	0	0
DRD2	0	0	0	0	0
DRD3	0	0	0	0	0
DRD4	0	0	0	0	0
DRD5	0	0	0	0	0
DRG1	40	30	39	25	62
DRG2	3	1	6	2	0
DROSHA	1	4	12	2	14
DRP2	0	1	0	0	2
DSC1	0	0	0	0	0
DSC2	0	0	0	0	0
DSC3	0	0	0	0	0
DSCAM	0	0	0	0	0
DSCAML1	0	0	0	0	0
DSCC1	0	0	0	0	0
DSCR3	1	1	1	1	2
DSE	1	1	0	0	0
DSEL	0	0	0	0	0
DSG2	0	0	0	0	0
DSG3	0	0	0	0	0
DSG4	0	0	0	0	0
DSN1	0	0	0	0	0
DSP	2	1	2	0	1
DSPP	0	0	0	0	0
DST	18	35	15	19	54
DSTN	26	16	18	9	33
DSTYK	2	1	1	2	9
DTD1	0	0	0	0	0
DTD2	0	0	0	0	0
DTHD1	0	0	0	0	0
DTL	0	6	6	4	9
DTNA	4	12	9	1	3
DTNB	10	18	17	5	17
DTNBP1	7	3	7	1	6
DTWD1	0	0	0	0	0
DTWD2	1	0	0	0	0
DTX1	0	0	0	0	0
DTX2	0	0	0	0	0
DTX3	9	12	6	9	17
DTX3L	0	0	0	0	0
DTX4	1	0	0	0	0
DTYMK	0	0	0	0	0
DUOX1	0	0	0	0	0
DUOX2	0	0	0	0	0
DUOXA1	0	0	0	0	0
DUOXA2	0	0	0	0	0
DUPD1	0	0	0	0	0
DUS1L	2	2	1	6	6
DUS2	3	2	1	0	1
DUS3L	0	0	0	0	0
DUS4L	0	0	0	0	0
DUSP1	4	0	1	0	8
DUSP10	9	7	7	5	10
DUSP11	7	12	5	10	16
DUSP12	0	1	3	3	5
DUSP13	0	0	0	0	0
DUSP14	1	1	0	0	0
DUSP15	0	0	0	0	0
DUSP16	2	4	5	3	8
DUSP18	0	0	0	0	0
DUSP19	1	0	0	1	1
DUSP2	0	0	0	0	0
DUSP21	0	0	0	0	0
DUSP22	0	0	0	0	0
DUSP23	0	0	0	0	0
DUSP26	0	0	0	0	0
DUSP27	0	0	0	0	0
DUSP28	0	0	0	0	0
DUSP3	2	1	2	1	6
DUSP4	1	1	2	2	6
DUSP5	6	18	13	10	23
DUSP6	18	21	21	10	44
DUSP7	15	9	13	9	32
DUSP8	0	0	0	0	0
DUSP9	0	0	0	0	0
DUT	0	0	0	0	0
DVL1	11	22	12	14	33
DVL2	0	1	0	0	0
DVL3	4	9	11	9	29
DXO	1	2	2	1	2
DYDC1	0	0	0	0	0
DYDC2	0	0	0	0	0
DYM	0	0	0	1	1
DYNAP	0	0	0	0	0
DYNC1H1	11	14	24	11	37
DYNC1I1	0	0	0	0	0
DYNC1I2	26	24	37	24	55
DYNC1LI1	4	4	7	4	23
DYNC1LI2	11	25	22	18	33
DYNC2H1	2	3	1	2	4
DYNC2LI1	0	0	0	0	0
DYNLL1	59	46	66	38	101
DYNLL2	76	57	107	53	140
DYNLRB1	7	6	6	1	8
DYNLRB2	0	0	0	0	0
